### Oracle tables with their properties and relationship:
#
# Databse tables 

# OE_ORDER_HEADERS_ALL stores header information for orders in Order Management.
# OE_ORDER_LINES_ALL stores information for all order lines in Oracle Order Management.

# Below is the column name and description of each column of oe_order_headers_all
#Column_Name	Column_Description
ACCOUNTING_RULE_DURATION	Number of accounting periods, across which revenue is recognized.
ACCOUNTING_RULE_ID	Accounting rule used by AR for generating Invoice
AGREEMENT_ID	Internal use only
ATTRIBUTE1	Descriptive Flexfield segment
ATTRIBUTE10	Descriptive Flexfield segment
ATTRIBUTE11	Descriptive Flexfield segment
ATTRIBUTE12	Descriptive Flexfield segment
ATTRIBUTE13	Descriptive Flexfield segment
ATTRIBUTE14	Descriptive Flexfield segment
ATTRIBUTE15	Descriptive Flexfield segment
ATTRIBUTE16	Descriptive Flexfield segment
ATTRIBUTE17	Descriptive Flexfield segment
ATTRIBUTE18	Descriptive Flexfield segment
ATTRIBUTE19	Project_Number is segment1 of pa_projects_all table
ATTRIBUTE2	Descriptive Flexfield segment
ATTRIBUTE20	Descriptive Flexfield segment
ATTRIBUTE3	Descriptive Flexfield segment
ATTRIBUTE4	Descriptive Flexfield segment
ATTRIBUTE5	Descriptive Flexfield segment
ATTRIBUTE6	Descriptive Flexfield segment
ATTRIBUTE7	Descriptive Flexfield segment
ATTRIBUTE8	Descriptive Flexfield segment
ATTRIBUTE9	Descriptive Flexfield segment
BATCH_ID	Internal Batch Identifier for orders imported in BULK mode.
BLANKET_NUMBER	Reference to Sales Agreement
BOOKED_DATE	Indicates the date when the order was booked
BOOKED_FLAG	Indicates whether order is booked ('Y') or not ('N')
CANCELLED_FLAG	Cancelled Flag
CHANGE_SEQUENCE	It is sequence number in which changes will be applied. It will make sure that later changes are not over-written by previous order change.
CHECK_NUMBER	Stores check number if payment type is Check
CONTEXT	Descriptive Flexfield segment
CONVERSION_RATE	Rate of the currency conversion
CONVERSION_RATE_DATE	Date of the currency conversion
CONVERSION_TYPE_CODE	Currency Conversion type
CREATED_BY	Standard Who column
CREATION_DATE	Standard Who column
CREDIT_CARD_APPROVAL_CODE	Stores credit card approval code if payment type is Credit Card
CREDIT_CARD_APPROVAL_DATE	The date on which credit card authorization was taken.
CREDIT_CARD_CODE	Stores credit card name if payment type is Credit Card
CREDIT_CARD_EXPIRATION_DATE	Stores credit card expiration date if payment type is Credit Card
CREDIT_CARD_HOLDER_NAME	Stores credit card holder name if payment type is Credit Card
CREDIT_CARD_NUMBER	Stores credit card number if payment type is Credit Card
CUST_PO_NUMBER	Customer Purchase Order Number
CUSTOMER_PAYMENT_TERM_ID	No longer used.
CUSTOMER_PREFERENCE_SET_CODE	Indicates whether items on the order must ship/arrive together
CUSTOMER_SIGNATURE	Customer Name
CUSTOMER_SIGNATURE_DATE	Date when customer signed on the document
DEFAULT_FULFILLMENT_SET	This will be used to hold the header level preference value for the fulfillment set name.
DELIVER_TO_CONTACT_ID	Deliver to Contact Id
DELIVER_TO_ORG_ID	Deliver to Organization Id
DEMAND_CLASS_CODE	Demand Class
DRAFT_SUBMITTED_FLAG	Internal Use only
DROP_SHIP_FLAG	No longer used.
EARLIEST_SCHEDULE_LIMIT	Limit in number of days earlier than the requested date when the item can be shipped
END_CUSTOMER_CONTACT_ID	Contact Id of the end customer
END_CUSTOMER_ID	End customer Id
END_CUSTOMER_SITE_USE_ID	Site Use Id of the end customer
EXPIRATION_DATE	Not Used
FIRST_ACK_CODE	Initial acknowledgment code for oubound EDI transaction
FIRST_ACK_DATE	Initial acknowledgment date for oubound EDI transaction
FLOW_STATUS_CODE	Workflow status for the header
FOB_POINT_CODE	FOB Point Code
FREIGHT_CARRIER_CODE	Freight Carrier Code
FREIGHT_TERMS_CODE	Freight Terms Code
FULFILLMENT_SET_NAME	This will be used to store the name of the fulfillment set. The same will be used for creating system defined fulfillment sets.
GLOBAL_ATTRIBUTE1	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE10	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE11	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE12	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE13	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE14	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE15	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE16	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE17	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE18	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE19	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE2	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE20	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE3	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE4	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE5	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE6	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE7	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE8	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE9	Reserved for country-specific functionality.
GLOBAL_ATTRIBUTE_CATEGORY	Reserved for country-specific functionality.
HEADER_ID	Order Header Identifier
IB_CURRENT_LOCATION	Install Base current location
IB_INSTALLED_AT_LOCATION	Installed at location
IB_OWNER	Install Base Owner
INST_ID	used in RAC INSTANCE AFFINITY for context setting
INVOICE_TO_CONTACT_ID	Invoice To Contact ID
INVOICE_TO_ORG_ID	Invoice To Organization ID
INVOICING_RULE_ID	Invoicing rule used by AR for generating Invoice
LAST_ACK_CODE	Latest acknowledgment code for oubound EDI transaction
LAST_ACK_DATE	Latest acknowledgment date for oubound EDI transaction
LAST_UPDATE_DATE	Standard Who column
LAST_UPDATE_LOGIN	Standard Who column
LAST_UPDATED_BY	Standard Who column
LATEST_SCHEDULE_LIMIT	Limit in number of days later than the requested date when the item can be shipped
LINE_SET_NAME	This will be used to hold the name of the Line Set. The same will be used for creating system defined line sets.
LOCK_CONTROL	Internal use only.
MARKETING_SOURCE_CODE_ID	Marketing Source Code Identifier, Foreign key reference to AMS_SOURCE_CODES
MINISITE_ID	Mini Site ID for sales orders
OPEN_FLAG	Indicates whether the order has been closed ('N') or not ('Y')
ORDER_CATEGORY_CODE	Order Category Code
ORDER_DATE_TYPE_CODE	Order Date Type Code
ORDER_FIRMED_DATE	Demand firm date
ORDER_NUMBER	User-visible number of the order
ORDER_SOURCE_ID	Source of the order
ORDER_TYPE_ID	Order Transaction Type Identifier
ORDERED_DATE	Ordered Date
ORG_ID	Operating Unit which performed this transaction
ORIG_SYS_DOCUMENT_REF	Original document reference for the order in external system
PACKING_INSTRUCTIONS	Packing Instructions for Order
PARTIAL_SHIPMENTS_ALLOWED	Not Used
PAYMENT_AMOUNT	Stores amount of payment
PAYMENT_TERM_ID	Payment Terms
PAYMENT_TYPE_CODE	Stores type of payment for orders (cash, check, credit)
PRICE_LIST_ID	Price list Identification for the order
PRICE_REQUEST_CODE	Code identifies pricing transaction applied to Order Header
PRICING_DATE	Determines effective list and price modifiers
PROGRAM_APPLICATION_ID	Application of concurrent program that last updated row.
PROGRAM_ID	Concurrent program that last updated row.
PROGRAM_UPDATE_DATE	Last date changed by concurrent program
QUOTE_DATE	Populated using defaulting rules.
QUOTE_NUMBER	This is populated for Orders under negotiation
REQUEST_DATE	Request date for the order
REQUEST_ID	Concurrent request that last changed row
RETURN_REASON_CODE	This column stores return reason code for a return order, and is for defaulting to a return line
SALES_CHANNEL_CODE	Sales channel through which order was placed
SALES_DOCUMENT_NAME	Stores Quote Name for Orders under negotiation.
SALES_DOCUMENT_TYPE_CODE	For Future Release
SALESREP_ID	Sales representative Identification
SHIP_FROM_ORG_ID	Ship From Organization Id - Warehouse
SHIP_TO_CONTACT_ID	Ship to Contact Id
SHIP_TO_ORG_ID	Ship to Organization Id
SHIP_TOLERANCE_ABOVE	Over Shipment/Return Tolerance
SHIP_TOLERANCE_BELOW	Under Shipment/Return Tolerance
SHIPMENT_PRIORITY_CODE	Shipment Priority Code
SHIPPING_INSTRUCTIONS	Shipping Instructions for Order
SHIPPING_METHOD_CODE	Shipping method to be used to ship the order
SOLD_FROM_ORG_ID	Selling Organization
SOLD_TO_CONTACT_ID	Customer contact
SOLD_TO_ORG_ID	Sold to customer
SOLD_TO_PHONE_ID	Phone Number of Sold to Customer
SOLD_TO_SITE_USE_ID	Customer Location
SOURCE_DOCUMENT_ID	Source Order Header Identifier
SOURCE_DOCUMENT_TYPE_ID	Indicates the source of the order
SOURCE_DOCUMENT_VERSION_NUMBER	Internal Use only
SUPPLIER_SIGNATURE	Supplier Name
SUPPLIER_SIGNATURE_DATE	Date when supplier signed on the document.
TAX_EXEMPT_FLAG	It will decide the tax handling for the order. Possible values can be S - Standard, E - Exempt, R - Required
TAX_EXEMPT_NUMBER	The Tax exemption Number
TAX_EXEMPT_REASON_CODE	The reason code for Tax exemption
TAX_POINT_CODE	For future use
TP_ATTRIBUTE1	Descriptive Flexfield segment
TP_ATTRIBUTE10	Descriptive Flexfield segment
TP_ATTRIBUTE11	Descriptive Flexfield segment
TP_ATTRIBUTE12	Descriptive Flexfield segment
TP_ATTRIBUTE13	Descriptive Flexfield segment
TP_ATTRIBUTE14	Descriptive Flexfield segment
TP_ATTRIBUTE15	Descriptive Flexfield segment
TP_ATTRIBUTE2	Descriptive Flexfield segment
TP_ATTRIBUTE3	Descriptive Flexfield segment
TP_ATTRIBUTE4	Descriptive Flexfield segment
TP_ATTRIBUTE5	Descriptive Flexfield segment
TP_ATTRIBUTE6	Descriptive Flexfield segment
TP_ATTRIBUTE7	Descriptive Flexfield segment
TP_ATTRIBUTE8	Descriptive Flexfield segment
TP_ATTRIBUTE9	Descriptive Flexfield segment
TP_CONTEXT	Descriptive Flexfield segment
TRANSACTION_PHASE_CODE	Indicates if Transaction is in negotitation or fulfillment phase
TRANSACTIONAL_CURR_CODE	Currency for the order
UPGRADED_FLAG	Denotes if this line is upgraded into R11i or newly created in R11i version.
USER_STATUS_CODE	User entered status
VERSION_NUMBER	Not Used
XML_MESSAGE_ID	This is to store the unique id for each XML Message processed. This id will be used to get the Control Area Data which is stored in XML Gateway tables to send on the Outbound Message.

# Below is the column name and description of each column of oe_order_lines_all
#Column_Name	Column_Description
ACCEPTED_BY	User ID of the person performing the revenue recognition acceptance
ACCEPTED_QUANTITY	If accepted for revenue recognition, the quantity = fulfilled quantity.If rejected for revenue recognition, the quantity = 0
ACCOUNTING_RULE_DURATION	Number of accounting periods, across which revenue is recognized.
ACCOUNTING_RULE_ID	Accounting rule used by AR for generating Invoice
ACTUAL_ARRIVAL_DATE	Date the item actually arrived at customer's site
ACTUAL_FULFILLMENT_DATE	Actual Fulfillment Date
ACTUAL_SHIPMENT_DATE	Actual Shipment Date of the line
AGREEMENT_ID	Internal use only
ARRIVAL_SET_ID	Arrival Set Identifier
ATO_LINE_ID	System-generated identifier if ATO configuration top model line
ATTRIBUTE1	Descriptive Flexfield segment
ATTRIBUTE10	Descriptive Flexfield segment
ATTRIBUTE11	Descriptive Flexfield segment
ATTRIBUTE12	Descriptive Flexfield segment
ATTRIBUTE13	Descriptive Flexfield segment
ATTRIBUTE14	Descriptive Flexfield segment
ATTRIBUTE15	Descriptive Flexfield segment
ATTRIBUTE16	Descriptive Flexfield segment
ATTRIBUTE17	Descriptive Flexfield segment
ATTRIBUTE18	Descriptive Flexfield segment
ATTRIBUTE19	Descriptive Flexfield segment
ATTRIBUTE2	Descriptive Flexfield segment
ATTRIBUTE20	Descriptive Flexfield segment
ATTRIBUTE3	Descriptive Flexfield segment
ATTRIBUTE4	Descriptive Flexfield segment
ATTRIBUTE5	Descriptive Flexfield segment
ATTRIBUTE6	Descriptive Flexfield segment
ATTRIBUTE7	Descriptive Flexfield segment
ATTRIBUTE8	Descriptive Flexfield segment
ATTRIBUTE9	Descriptive Flexfield segment
AUTHORIZED_TO_SHIP_FLAG	Field to identify whether the demand lines are authorized to ship.
AUTO_SELECTED_QUANTITY	Not used
BLANKET_LINE_NUMBER	Reference to a Sales Agreement Line
BLANKET_NUMBER	Reference to Sales Agreement
BLANKET_VERSION_NUMBER	Reference to a Sales Agreement Version
BOOKED_FLAG	Indicates whether order line is booked (Y) or not (N)
BYPASS_SCH_FLAG	Is scheduling on the line to be bypassed?
CALCULATE_PRICE_FLAG	Controls repricing of order lines
CANCELLED_FLAG	Indicates whether line is completely cancelled
CANCELLED_QUANTITY	Cancelled Quantity
CANCELLED_QUANTITY2	Cancelled Quantity
CHANGE_SEQUENCE	It is sequence number in which changes will be applied. It will make sure that later changes are not over-written by previous order change.
CHARGE_PERIODICITY_CODE	This column is used to determine the price for an order line with a recurring charge item
COMMITMENT_ID	Commitment to apply line against
COMPONENT_CODE	Identifier of component within an exploded bill
COMPONENT_NUMBER	System Generated Identifier of the included item within a model or a class
COMPONENT_SEQUENCE_ID	Bill of materials component (option) or bill (top model)
CONFIG_DISPLAY_SEQUENCE	Not used
CONFIG_HEADER_ID	System-generated identifier for Oracle Configurator reference
CONFIG_REV_NBR	System-generated identifier for Oracle Configurator reference
CONFIGURATION_ID	Not Used
CONTEXT	Descriptive Flexfield segment
CONTINGENCY_ID	Foreign key to AR_DEFERRAL_REASONS.CONTINGENCY_ID
CREATED_BY	Standard Who column
CREATION_DATE	Standard Who column
CREDIT_INVOICE_LINE_ID	This column stores the invoice line id this return line applies credit to
CUST_MODEL_SERIAL_NUMBER	Vehicle Id Number (VIN)
CUST_PO_NUMBER	Customer Purchase Order Number
CUST_PRODUCTION_SEQ_NUM	Unique production sequence that indicates how the customer transmitted the demand lines.
CUSTOMER_DOCK_CODE	Doc code
CUSTOMER_ITEM_NET_PRICE	Reference Information. Contains Customers net price, if specified while importing an order.
CUSTOMER_JOB	Customer Job number
CUSTOMER_LINE_NUMBER	Reference Information. Contains customers line number, if specified while importing an order. Customers who have an alphanumeric line number can store their line number information in this field.
CUSTOMER_PAYMENT_TERM_ID	Reference Information. Contains Customers payment term, if specified while importing an order.
CUSTOMER_PRODUCTION_LINE	Customer Production Line
CUSTOMER_SHIPMENT_NUMBER	Reference Information. Contains Customers Shipment number, if specified while importing an order. Customers who have an alphanumeric shipment number can store their shipment number information in this field.
CUSTOMER_TRX_LINE_ID	Currently not being used.
DELIVER_TO_CONTACT_ID	Deliver to Contact Id
DELIVER_TO_ORG_ID	Deliver to Organization Id
DELIVERY_LEAD_TIME	Deliver Lead time
DEMAND_BUCKET_TYPE_CODE	Bucket Type designator (e.g, discrete, weekly, monthly) associated with the order line.
DEMAND_CLASS_CODE	Demand Class
DEP_PLAN_REQUIRED_FLAG	Departure Planning Required Flag possible values Y/N
DROP_SHIP_FLAG	Not Used
EARLIEST_ACCEPTABLE_DATE	Earliest Date the item is acceptable.
EARLIEST_SHIP_DATE	This will be used to store the earliest Shipping Date , passed by Planning.
END_CUSTOMER_CONTACT_ID	Contact ID of End Customer
END_CUSTOMER_ID	Customer ID of End Customer
END_CUSTOMER_SITE_USE_ID	Site Use ID of End Customer
END_ITEM_UNIT_NUMBER	Uniquely identifies which bill of material to be used for building a specific Model/Unit Number effectivity controlled item
EXPLOSION_DATE	Date when the included items were exploded and frozen
FIRM_DEMAND_FLAG	FIRM_DEMAND_FLAG
FIRST_ACK_CODE	Initial acknowledgment code for oubound EDI transaction
FIRST_ACK_DATE	Initial acknowledgment date for oubound EDI transaction
FLOW_STATUS_CODE	Workflow status for the line
FOB_POINT_CODE	FOB Point Code
FREIGHT_CARRIER_CODE	Freight carrier for the order line.
FREIGHT_TERMS_CODE	Freight Terms, specifying the responsibility for Freight charges
FULFILLED_FLAG	Fulfilled Flag to indicate whether the line has been fulfilled.
FULFILLED_QUANTITY	Fulfilled Quantity
